,DOY,co2_flux,air_temperature,ET,X,X.1,X.2,nearest_date,ch4_flux,i.air_temperature
1,2.729,1.87232,300.462,0.0021,NA,NA,NA,2.729,-0.0322,301.584
2,2.749,1.87232,300.462,0.0021,NA,NA,NA,2.729,0.55336,300.137
3,2.77,-9.83013,303.801,0.0606,NA,NA,NA,2.77,0.534776,304.273
4,2.812,2.08077,298.615,0.0456,NA,NA,NA,2.812,0.0939,300.406
5,2.833,6.7644,298.574,0.00502,NA,NA,NA,2.833,-0.0945,299.826
6,2.854,0.730851,298.001,0.0533,NA,NA,NA,2.854,0.0702,299.671
7,2.874,3.04995,297.793,0.0367,NA,NA,NA,2.874,-0.22142,299.498
8,2.895,6.55399,297.964,0.0102,NA,NA,NA,2.895,0.0476,299.429
9,2.916,3.04175,297.506,0.0271,NA,NA,NA,2.916,-0.0344,299.148
10,2.937,1.5973,297.658,0.00786,NA,NA,NA,2.937,0.025,298.708
11,2.958,2.44883,297.256,0.0185,NA,NA,NA,2.958,0.0317,298.891
12,2.979,3.14404,297.567,0.0251,NA,NA,NA,2.979,-0.195712,299.254
13,3,1.75282,297.607,0.00464,NA,NA,NA,3,-0.349621,299.289
14,3.02,3.24496,297.479,0.00949,NA,NA,NA,3.02,-0.0413,299.142
15,3.041,3.1833,297.141,0.00675,NA,NA,NA,3.041,-0.0272,298.79
16,3.062,3.56177,297.105,0.0112,NA,NA,NA,3.062,-0.0281,298.744
17,3.083,3.22179,297.013,0.00756,NA,NA,NA,3.083,-0.0208,298.638
18,3.104,4.17683,296.606,0.00297,NA,NA,NA,3.104,0.141443,298.21
19,3.124,3.16994,296.618,0.00394,NA,NA,NA,3.124,0.33532,298.224
20,3.145,2.3117,296.603,0.00233,NA,NA,NA,3.145,-0.0275,298.211
21,3.166,2.33298,296.671,0.00346,NA,NA,NA,3.166,0.003,298.295
22,3.187,2.83367,296.94,0.00923,NA,NA,NA,3.187,0.0173,298.591
23,3.208,2.26464,296.796,0.00465,NA,NA,NA,3.208,-0.00326,298.426
24,3.229,4.41478,296.709,0.0137,NA,NA,NA,3.229,0.00363,298.328
25,3.249,4.34383,296.65,0.0121,NA,NA,NA,3.249,-0.0188,298.283
26,3.27,2.28692,296.112,-8.68E-05,NA,NA,NA,3.27,0.00312,297.621
27,3.291,2.28692,296.112,-8.68E-05,NA,NA,NA,3.27,0.00386,297.876
28,3.312,2.28692,296.112,-8.68E-05,NA,NA,NA,3.27,0.0529,302.076
29,3.354,2.28692,296.112,-8.68E-05,NA,NA,NA,3.27,-0.0113,308.236
30,3.458,0.80975,306.007,0.142866,NA,NA,NA,3.458,0.121964,307.255
31,3.479,-1.6053,300.304,0.20057,NA,NA,NA,3.479,-0.041,301.619
32,3.499,0.957269,297.959,0.0909,NA,NA,NA,3.499,-0.0446,299.643
33,3.52,-0.60037,298.107,0.136779,NA,NA,NA,3.52,0.186976,300.168
34,3.541,-1.3515,298.469,0.159882,NA,NA,NA,3.541,-0.0731,300.547
35,3.562,-2.66105,299.383,0.53623,NA,NA,NA,3.562,0.142695,301.455
36,3.583,-1.90441,299.875,0.47098,NA,NA,NA,3.583,-0.0393,301.927
37,3.624,-2.05281,300.835,0.449359,NA,NA,NA,3.624,-0.0404,302.802
38,3.645,-0.0642,300.909,0.281135,NA,NA,NA,3.645,-0.0501,302.797
39,3.666,-0.328467,301.443,0.193629,NA,NA,NA,3.666,0.230687,303.283
40,3.708,-3.96192,300.589,0.45261,NA,NA,NA,3.708,-0.0413,302.649
41,3.729,-2.79243,300.964,0.360008,NA,NA,NA,3.729,-0.0246,303.003
42,3.749,-3.56182,300.565,0.344201,NA,NA,NA,3.749,0.0224,302.696
43,3.77,-0.656522,300.266,0.223337,NA,NA,NA,3.77,0.11623,302.294
44,3.791,1.05509,299.858,0.162837,NA,NA,NA,3.791,-0.557502,301.889
45,3.833,1.01452,298.103,0.0856,NA,NA,NA,3.833,-0.249643,299.926
46,3.854,3.35719,297.215,0.0464,NA,NA,NA,3.854,-0.163021,299.005
47,3.874,3.77675,296.938,0.0402,NA,NA,NA,3.874,0.142142,298.733
48,3.895,2.91502,296.601,0.0178,NA,NA,NA,3.895,0.0122,298.407
49,3.916,3.09958,296.714,0.013,NA,NA,NA,3.916,0.089,298.528
50,3.937,3.55039,296.888,0.0222,NA,NA,NA,3.937,0.0211,298.714
51,3.958,3.60738,297.079,0.0208,NA,NA,NA,3.958,0.0737,298.915
52,3.979,3.86185,297.117,0.0243,NA,NA,NA,3.979,0.0402,298.967
53,4,3.64938,297.051,0.018,NA,NA,NA,4,-0.0547,298.901
54,4.02,3.388,296.993,0.0131,NA,NA,NA,4.02,0.0724,298.852
55,4.041,2.96885,297.091,0.0101,NA,NA,NA,4.041,0.103133,298.906
56,4.062,3.16255,296.873,0.0111,NA,NA,NA,4.062,0.138561,298.678
57,4.083,3.16255,296.873,0.0111,NA,NA,NA,4.062,0.000333,298.483
58,4.104,2.90599,297.552,0.0162,NA,NA,NA,4.104,-0.0426,298.553
59,4.124,4.25336,296.841,0.0226,NA,NA,NA,4.124,-0.135376,298.286
60,4.145,3.34636,296.368,0.0216,NA,NA,NA,4.145,-0.023,298.213
61,4.166,-0.343345,296.536,0.0246,NA,NA,NA,4.166,-0.177428,298.068
62,4.187,2.25634,296.318,0.0136,NA,NA,NA,4.187,-0.15737,297.908
63,4.208,3.63265,295.763,0.0292,NA,NA,NA,4.208,-0.0605,297.489
64,4.229,5.9358,295.758,0.10283,NA,NA,NA,4.229,-0.179319,297.085
65,4.249,5.9358,295.758,0.10283,NA,NA,NA,4.229,-0.535936,297.507
66,4.27,5.9358,295.758,0.10283,NA,NA,NA,4.229,0.158192,298.651
67,4.312,5.9358,295.758,0.10283,NA,NA,NA,4.229,-0.429056,301.738
68,4.333,5.9358,295.758,0.10283,NA,NA,NA,4.229,0.0753,303.603
69,4.374,5.9358,295.758,0.10283,NA,NA,NA,4.229,0.0743,302.628
70,4.395,5.9358,295.758,0.10283,NA,NA,NA,4.229,0.0778,303.626
71,4.458,-4.11208,300.17,0.288577,NA,NA,NA,4.624,0.315786,301.619
72,4.479,-4.11208,300.17,0.288577,NA,NA,NA,4.624,0.414541,303.563
73,4.499,-4.11208,300.17,0.288577,NA,NA,NA,4.624,-0.0187,304.069
74,4.604,-4.11208,300.17,0.288577,NA,NA,NA,4.624,0.400158,305.128
75,4.624,-4.11208,300.17,0.288577,NA,NA,NA,4.624,0.000351,301.417
76,4.645,13.5595,296.321,0.0615,NA,NA,NA,4.645,0.109278,297.426
77,4.666,-4.2537,297.484,0.246839,NA,NA,NA,4.687,-0.0669,297.389
78,4.687,-4.2537,297.484,0.246839,NA,NA,NA,4.687,-0.280985,298.835
79,4.708,13.6473,296.475,0.12323,NA,NA,NA,4.708,-0.157986,297.674
80,4.729,-12.0298,295.793,0.0981,NA,NA,NA,4.729,0.0458,297.303
81,4.791,-12.0298,295.793,0.0981,NA,NA,NA,4.729,0.138382,304.538
82,4.916,-12.0298,295.793,0.0981,NA,NA,NA,4.729,-0.392747,303.654
83,4.937,-12.0298,295.793,0.0981,NA,NA,NA,4.729,0.540181,305.203
84,4.979,-12.0298,295.793,0.0981,NA,NA,NA,4.729,0.246629,297.465
85,5.02,-12.0298,295.793,0.0981,NA,NA,NA,4.729,0.150916,302.587
86,5.041,-12.0298,295.793,0.0981,NA,NA,NA,4.729,0.228074,305.076
87,5.062,8.63097,303.376,0.530191,NA,NA,NA,5.354,0.114929,304.586
88,5.124,8.63097,303.376,0.530191,NA,NA,NA,5.354,-0.104327,303.953
89,5.145,8.63097,303.376,0.530191,NA,NA,NA,5.354,0.165149,303.949
90,5.166,8.63097,303.376,0.530191,NA,NA,NA,5.354,0.127748,303.578
91,5.187,8.63097,303.376,0.530191,NA,NA,NA,5.354,-0.112411,303.442
92,5.208,8.63097,303.376,0.530191,NA,NA,NA,5.354,-0.106521,303.391
93,5.229,8.63097,303.376,0.530191,NA,NA,NA,5.354,0.165019,303.641
94,5.249,8.63097,303.376,0.530191,NA,NA,NA,5.354,-0.0755,303.292
95,5.27,8.63097,303.376,0.530191,NA,NA,NA,5.354,-0.0671,303.361
96,5.291,8.63097,303.376,0.530191,NA,NA,NA,5.354,-0.127535,303.234
97,5.312,8.63097,303.376,0.530191,NA,NA,NA,5.354,0.223309,303.356
98,5.333,8.63097,303.376,0.530191,NA,NA,NA,5.354,-0.141675,303.63
99,5.354,8.63097,303.376,0.530191,NA,NA,NA,5.354,0.173844,299.364
100,5.374,8.63097,303.376,0.530191,NA,NA,NA,5.354,-0.0791,304.399
101,5.395,3.38277,298.023,0.203615,NA,NA,NA,5.416,0.131276,303.757
102,5.416,3.38277,298.023,0.203615,NA,NA,NA,5.416,0.27775,299.573
103,5.437,8.19844,295.435,0.206995,NA,NA,NA,5.437,-0.0888,296.825
104,5.458,6.78605,295.743,0.247796,NA,NA,NA,5.458,-0.0343,297.034
105,5.479,7.67113,296.034,0.232603,NA,NA,NA,5.479,-0.0469,297.314
106,5.499,8.72349,296.23,0.256959,NA,NA,NA,5.499,0.128665,297.484
107,5.52,3.66019,295.95,0.247274,NA,NA,NA,5.52,0.0129,297.187
108,5.541,5.70287,295.851,0.131792,NA,NA,NA,5.541,0.0805,296.967
109,5.562,5.70287,295.851,0.131792,NA,NA,NA,5.541,0.0502,297.338
110,5.583,-4.76088,296.375,0.248186,NA,NA,NA,5.583,0.0306,297.815
111,5.604,-6.71049,296.58,0.329376,NA,NA,NA,5.604,-0.014,298.191
112,5.624,-7.50378,297.207,0.406698,NA,NA,NA,5.624,-0.0167,298.835
113,5.645,-8.32704,297.204,0.41176,NA,NA,NA,5.645,-0.0363,298.799
114,5.666,-6.08081,296.965,0.304388,NA,NA,NA,5.666,-0.0466,298.536
115,5.687,-3.90149,296.6,0.233946,NA,NA,NA,5.687,-0.161815,298.116
116,5.708,-5.11309,296.622,0.221601,NA,NA,NA,5.708,0.0408,298.102
117,5.729,-4.16223,296.508,0.233734,NA,NA,NA,5.729,-0.144936,297.958
118,5.749,-5.37334,296.487,0.221965,NA,NA,NA,5.749,-0.12833,297.93
119,5.77,-3.27891,296.284,0.174023,NA,NA,NA,5.77,0.107107,297.71
120,5.791,-3.0483,296.349,0.181224,NA,NA,NA,5.791,-0.104537,297.764
121,5.812,-0.617836,296.02,0.128662,NA,NA,NA,5.812,-0.00987,297.407
122,5.833,0.819294,295.74,0.0966,NA,NA,NA,5.833,-0.00611,297.094
123,5.854,2.36356,295.474,0.0661,NA,NA,NA,5.854,-0.025,296.833
124,5.874,3.59177,295.231,0.0493,NA,NA,NA,5.874,0.0203,296.572
125,5.895,3.49505,294.941,0.0438,NA,NA,NA,5.895,0.0306,296.238
126,5.916,3.45055,294.808,0.0421,NA,NA,NA,5.916,0.0409,296.072
127,5.937,3.25785,294.655,0.0455,NA,NA,NA,5.937,0.00159,295.883
128,5.958,3.41747,294.508,0.0512,NA,NA,NA,5.958,0.0276,295.701
129,5.979,4.29107,294.436,0.0522,NA,NA,NA,5.979,-0.0114,295.612
130,6,3.31113,294.336,0.0442,NA,NA,NA,6,0.0203,295.492
131,6.02,4.15125,294.355,0.0471,NA,NA,NA,6.02,0.0394,295.5
132,6.041,3.69412,294.144,0.0366,NA,NA,NA,6.041,0.0454,295.268
133,6.062,3.95551,294.159,0.045,NA,NA,NA,6.062,0.00991,295.282
134,6.083,3.88631,293.994,0.049,NA,NA,NA,6.083,0.0116,295.092
135,6.104,3.74643,293.797,0.0476,NA,NA,NA,6.104,0.000655,294.873
136,6.124,3.97613,293.634,0.0507,NA,NA,NA,6.124,0.0134,294.708
137,6.145,2.22098,293.652,0.0885,NA,NA,NA,6.145,0.0184,294.68
138,6.166,2.22098,293.652,0.0885,NA,NA,NA,6.145,-0.0257,294.223
139,6.187,2.22098,293.652,0.0885,NA,NA,NA,6.145,-0.014,298.895
140,6.208,4.99721,295.568,0.124233,NA,NA,NA,6.249,0.0362,301.269
141,6.229,4.99721,295.568,0.124233,NA,NA,NA,6.249,0.191611,297.632
142,6.249,4.99721,295.568,0.124233,NA,NA,NA,6.249,-0.0287,296.857
143,6.27,3.53014,293.546,0.136775,NA,NA,NA,6.27,0.0164,294.793
144,6.291,3.26724,292.763,0.0714,NA,NA,NA,6.291,0.0186,293.965
145,6.312,2.31864,293.144,0.0852,NA,NA,NA,6.312,0.0221,294.333
146,6.333,1.97267,293.202,0.0954,NA,NA,NA,6.333,-0.0346,294.369
147,6.354,0.899326,293.337,0.101497,NA,NA,NA,6.354,0.0406,294.526
148,6.374,-0.742169,293.481,0.121979,NA,NA,NA,6.374,-0.0318,294.654
149,6.395,-4.23066,293.894,0.146516,NA,NA,NA,6.395,-0.0488,295.028
150,6.416,-5.25516,294.328,0.164393,NA,NA,NA,6.416,0.018,295.482
151,6.437,-5.18298,294.355,0.151512,NA,NA,NA,6.437,0.0134,295.574
152,6.458,-6.7262,294.671,0.1827,NA,NA,NA,6.458,-0.0701,295.87
153,6.479,-9.87073,295.401,0.269402,NA,NA,NA,6.479,-0.101281,296.632
154,6.499,-11.9847,295.784,0.3457,NA,NA,NA,6.499,-0.181664,297.059
155,6.52,-12.1143,295.579,0.3662,NA,NA,NA,6.52,0.0054,296.886
156,6.541,-11.475,295.285,0.320414,NA,NA,NA,6.541,0.0527,296.622
157,6.562,-10.1527,295.619,0.3038,NA,NA,NA,6.562,-0.151434,296.909
158,6.583,-12.6027,295.809,0.37663,NA,NA,NA,6.583,-0.0906,297.156
159,6.604,-12.5696,296.01,0.402187,NA,NA,NA,6.604,-0.0771,297.335
160,6.624,-10.902,296.019,0.368622,NA,NA,NA,6.624,-0.0586,297.357
161,6.645,-10.0782,296.027,0.335465,NA,NA,NA,6.645,0.11352,297.309
162,6.666,-9.51158,296.165,0.340223,NA,NA,NA,6.666,-0.121994,297.468
163,6.687,-8.16756,296.252,0.322928,NA,NA,NA,6.687,0.0154,297.568
164,6.708,-7.83331,296.186,0.281468,NA,NA,NA,6.708,0.106623,297.519
165,6.729,-6.29453,295.878,0.230452,NA,NA,NA,6.729,-0.00185,297.24
166,6.749,-6.45127,295.836,0.194449,NA,NA,NA,6.749,0.00214,297.215
167,6.77,-4.4952,295.786,0.163867,NA,NA,NA,6.77,-0.0146,297.205
168,6.812,0.240224,295.141,0.0778,NA,NA,NA,6.812,0.138697,296.55
169,6.833,0.706316,294.974,0.0514,NA,NA,NA,6.833,0.126193,296.355
170,6.854,1.77439,294.897,0.0462,NA,NA,NA,6.854,0.0528,296.275
171,6.874,2.47076,294.755,0.0334,NA,NA,NA,6.874,0.032,296.122
172,6.895,2.36712,294.695,0.0271,NA,NA,NA,6.895,-0.0152,296.063
173,6.916,2.38332,294.633,0.021,NA,NA,NA,6.916,0.0311,296.015
174,6.937,2.61043,294.605,0.0225,NA,NA,NA,6.937,-0.0109,295.982
175,6.958,2.34356,294.552,0.0186,NA,NA,NA,6.958,-0.0047,295.927
176,6.979,2.46536,294.416,0.0124,NA,NA,NA,6.979,-0.01,295.789
177,7,2.22127,294.448,0.0135,NA,NA,NA,7,-0.0153,295.829
178,7.02,2.66173,293.963,0.00116,NA,NA,NA,7.02,0.107146,295.307
179,7.041,2.60174,293.695,-0.00136,NA,NA,NA,7.041,-0.00587,295.025
180,7.062,1.98584,293.964,0.00143,NA,NA,NA,7.062,0.00881,295.319
181,7.083,0.961157,293.496,-0.00148,NA,NA,NA,7.083,-0.0271,294.799
182,7.104,-4.21563,292.311,0.00122,NA,NA,NA,7.104,-0.00107,293.534
183,7.124,1.0159,292.418,-0.000485,NA,NA,NA,7.124,0.065,293.572
184,7.145,1.87618,291.98,-0.00158,NA,NA,NA,7.145,-0.0111,293.095
185,7.166,1.33214,291.133,-0.00423,NA,NA,NA,7.166,-0.00476,292.003
186,7.187,-0.503684,290.234,-0.00345,NA,NA,NA,7.187,0.00797,290.942
187,7.208,-0.503684,290.234,-0.00345,NA,NA,NA,7.187,-0.0164,290.666
188,7.229,6.7767,289.013,-0.00641,NA,NA,NA,7.249,-0.00337,291.925
189,7.249,6.7767,289.013,-0.00641,NA,NA,NA,7.249,-0.0418,289.826
190,7.27,-5.44466,289.189,0.00237,NA,NA,NA,7.27,-0.021,289.676
191,7.291,9.16427,291.675,-0.00191,NA,NA,NA,7.291,0.023,292.5
192,7.312,-0.0534,294.191,0.0288,NA,NA,NA,7.312,0.0329,295.526
193,7.333,-2.54807,295.267,0.0819,NA,NA,NA,7.333,0.0911,296.655
194,7.354,-4.59248,295.551,0.104533,NA,NA,NA,7.354,0.00864,296.957
195,7.374,-5.50125,296.071,0.124281,NA,NA,NA,7.374,-0.029,297.517
196,7.395,-6.9584,297.16,0.206391,NA,NA,NA,7.395,0.0425,298.605
197,7.416,-7.26028,297.93,0.228748,NA,NA,NA,7.416,0.0102,299.356
198,7.437,-8.68187,298.462,0.289121,NA,NA,NA,7.437,0.0563,299.913
199,7.458,-8.50468,299.184,0.347938,NA,NA,NA,7.458,-0.0991,300.679
200,7.479,-7.76147,299.879,0.429079,NA,NA,NA,7.479,-0.0391,301.387
201,7.499,-5.16199,300.167,0.376189,NA,NA,NA,7.499,-0.06,301.639
202,7.52,-3.95578,300.645,0.438462,NA,NA,NA,7.52,-0.00588,302.179
203,7.541,-4.08517,300.356,0.418133,NA,NA,NA,7.541,0.124077,302.016
204,7.562,-3.66163,300.76,0.360816,NA,NA,NA,7.562,-2.51E-05,302.332
205,7.583,-3.83607,299.964,0.348015,NA,NA,NA,7.583,-0.0336,301.687
206,7.604,-4.3733,299.964,0.33699,NA,NA,NA,7.604,0.00541,301.674
207,7.624,-5.07678,300.317,0.389936,NA,NA,NA,7.624,-0.0749,301.994
208,7.645,-6.71935,300.916,0.513325,NA,NA,NA,7.645,-0.161971,302.627
209,7.666,-5.52163,300.824,0.459014,NA,NA,NA,7.666,0.0607,302.521
210,7.687,-5.98313,300.719,0.452832,NA,NA,NA,7.687,-0.0286,302.381
211,7.708,-4.66606,300.138,0.369252,NA,NA,NA,7.708,0.0551,301.739
212,7.729,-4.34783,299.882,0.320031,NA,NA,NA,7.729,-0.0767,301.43
213,7.749,-3.83427,299.87,0.266561,NA,NA,NA,7.749,0.035,301.377
214,7.77,-3.23733,299.617,0.211939,NA,NA,NA,7.77,-0.059,301.083
215,7.791,-2.15038,299.671,0.169594,NA,NA,NA,7.791,-0.0179,301.104
216,7.812,-0.524086,299.984,0.123488,NA,NA,NA,7.812,0.000723,301.364
217,7.833,-0.554779,299.747,0.11371,NA,NA,NA,7.833,-0.0189,301.059
218,7.854,1.43162,299.034,0.0752,NA,NA,NA,7.854,0.0275,300.285
219,7.874,2.71805,298.226,0.0385,NA,NA,NA,7.874,-0.0484,299.43
220,7.895,3.28123,297.492,0.0276,NA,NA,NA,7.895,0.0303,298.647
221,7.916,3.25321,296.745,0.0204,NA,NA,NA,7.916,0.0851,297.82
222,7.937,3.1338,296.17,0.0116,NA,NA,NA,7.937,-0.0295,297.151
223,7.958,2.93806,295.61,0.00952,NA,NA,NA,7.958,0.0654,296.53
224,7.979,2.09245,295.198,0.00477,NA,NA,NA,7.979,-0.0302,296.099
225,8,2.48764,294.986,0.00395,NA,NA,NA,8,0.121473,295.712
226,8.02,3.5333,294.539,0.00334,NA,NA,NA,8.02,-0.0484,295.21
227,8.041,3.17557,294.275,0.00826,NA,NA,NA,8.041,-0.0605,294.898
228,8.062,2.99364,293.956,0.00774,NA,NA,NA,8.062,0.0098,294.542
229,8.083,2.96263,293.695,0.00815,NA,NA,NA,8.083,-0.031,294.256
230,8.104,3.63302,293.768,0.00939,NA,NA,NA,8.104,0.0128,294.331
231,8.124,3.53087,293.828,0.0116,NA,NA,NA,8.124,-0.0139,294.397
232,8.145,2.51243,293.599,0.00846,NA,NA,NA,8.145,-0.0655,294.176
233,8.166,3.02187,293.509,0.00633,NA,NA,NA,8.166,0.00961,294.092
234,8.187,3.09586,293.634,0.00902,NA,NA,NA,8.187,0.0896,294.217
235,8.208,3.37531,293.597,0.0115,NA,NA,NA,8.208,-0.0503,294.19
236,8.229,4.6164,293.719,0.0156,NA,NA,NA,8.229,0.0252,294.313
237,8.249,4.52654,293.673,0.0169,NA,NA,NA,8.249,0.0315,294.26
238,8.27,3.85148,293.464,0.0135,NA,NA,NA,8.27,0.0207,294.045
239,8.291,2.28745,293.917,0.018,NA,NA,NA,8.291,0.0582,294.493
240,8.312,0.179462,294.707,0.0313,NA,NA,NA,8.312,-0.0381,295.322
241,8.333,-0.952996,295.618,0.056,NA,NA,NA,8.333,0.0629,296.274
242,8.354,-2.12332,296.569,0.0694,NA,NA,NA,8.354,-0.0762,297.278
243,8.374,-3.84702,297.401,0.0985,NA,NA,NA,8.374,-0.0881,298.138
244,8.395,-5.47696,297.993,0.127666,NA,NA,NA,8.395,0.105298,298.769
245,8.416,-7.73706,298.534,0.156598,NA,NA,NA,8.416,-0.017,299.399
246,8.458,-8.55857,299.696,0.291461,NA,NA,NA,8.458,0.00109,300.938
247,8.479,-7.39844,300.601,0.355957,NA,NA,NA,8.479,-0.0995,301.892
248,8.499,-7.60283,300.629,0.402331,NA,NA,NA,8.499,0.067,301.961
249,8.52,-7.7775,301.034,0.438812,NA,NA,NA,8.52,0.0719,302.388
250,8.541,-8.51053,301.573,0.530818,NA,NA,NA,8.541,-0.036,302.931
251,8.562,-8.05805,301.652,0.463188,NA,NA,NA,8.562,0.0798,303.105
252,8.583,-9.22298,301.993,0.547824,NA,NA,NA,8.583,0.0384,303.44
253,8.604,-8.78264,302.19,0.540006,NA,NA,NA,8.604,0.0126,303.657
254,8.624,-13.5756,301.856,0.535733,NA,NA,NA,8.624,-0.0296,303.412
255,8.645,-14.2682,301.44,0.461163,NA,NA,NA,8.645,-0.352154,302.966
256,8.666,-14.5292,300.877,0.471429,NA,NA,NA,8.666,0.139927,302.339
257,8.687,-13.2398,300.483,0.421016,NA,NA,NA,8.687,-0.0356,301.936
258,8.708,-12.5373,300.438,0.377651,NA,NA,NA,8.708,-0.0328,301.9
259,8.729,-8.25627,300.34,0.298394,NA,NA,NA,8.729,0.0221,301.76
260,8.749,-8.15617,300.22,0.229432,NA,NA,NA,8.749,-0.0319,301.659
261,8.77,-6.49394,299.795,0.207715,NA,NA,NA,8.77,0.119271,301.179
262,8.812,-4.03891,299.332,0.101715,NA,NA,NA,8.812,-0.122972,300.699
263,8.833,-2.97721,298.854,0.0599,NA,NA,NA,8.833,-0.171464,300.148
264,8.854,-1.62532,298.735,0.0255,NA,NA,NA,8.854,-0.0847,299.804
265,8.874,2.98566,298.611,0.0102,NA,NA,NA,8.874,0.0436,299.453
266,8.895,2.17654,298.594,0.00248,NA,NA,NA,8.895,-0.0116,299.372
267,8.916,2.62588,298.522,0.00917,NA,NA,NA,8.916,0.0141,299.246
268,8.937,2.70495,298.328,0.00749,NA,NA,NA,8.937,0.0182,299.016
269,8.958,2.15203,297.681,0.000542,NA,NA,NA,8.958,-0.0225,298.339
270,8.979,2.92996,296.066,-0.00274,NA,NA,NA,8.979,-0.0842,296.69
271,9,1.82906,294.338,-0.00232,NA,NA,NA,9,-0.017,294.839
272,9.02,4.16454,293.41,-0.00147,NA,NA,NA,9.02,0.123744,293.75
273,9.041,3.91147,292.465,-0.00147,NA,NA,NA,9.041,0.0111,292.703
274,9.062,3.91147,292.465,-0.00147,NA,NA,NA,9.041,-0.0171,292.627
275,9.083,3.91147,292.465,-0.00147,NA,NA,NA,9.041,-0.0386,293.412
276,9.104,3.91147,292.465,-0.00147,NA,NA,NA,9.041,0.0179,291.491
277,9.124,3.91147,292.465,-0.00147,NA,NA,NA,9.041,0.0317,290.225
278,9.145,3.91147,292.465,-0.00147,NA,NA,NA,9.041,0.0223,290.116
279,9.166,3.91147,292.465,-0.00147,NA,NA,NA,9.041,0.036,290.168
280,9.187,0.884139,293.89,-0.000782,NA,NA,NA,9.312,0.0147,290.078
281,9.208,0.884139,293.89,-0.000782,NA,NA,NA,9.312,-0.0441,290.248
282,9.229,0.884139,293.89,-0.000782,NA,NA,NA,9.312,0.00224,290.012
283,9.249,0.884139,293.89,-0.000782,NA,NA,NA,9.312,-0.0231,290.049
284,9.27,0.884139,293.89,-0.000782,NA,NA,NA,9.312,0.0365,291.464
285,9.291,0.884139,293.89,-0.000782,NA,NA,NA,9.312,0.00912,292.76
286,9.312,0.884139,293.89,-0.000782,NA,NA,NA,9.312,0.0328,294.101
287,9.333,-0.512461,295.459,0.0115,NA,NA,NA,9.333,-0.0847,295.764
288,9.374,-4.56962,297.158,0.0266,NA,NA,NA,9.374,-0.175218,297.762
289,9.416,-8.90538,298.743,0.0865,NA,NA,NA,9.416,0.0342,299.718
290,9.458,-11.0354,300.021,0.216213,NA,NA,NA,9.458,-0.0689,301.335
291,9.479,-10.807,299.855,0.317536,NA,NA,NA,9.479,-0.0126,301.452
292,9.499,-13.1432,300.375,0.410521,NA,NA,NA,9.499,0.0504,301.823
293,9.52,-9.77724,301.528,0.4355,NA,NA,NA,9.52,-0.0241,302.906
294,9.541,-8.34321,302.29,0.497954,NA,NA,NA,9.541,-0.16022,303.86
295,9.562,-10.0297,301.436,0.399234,NA,NA,NA,9.562,0.0677,302.996
296,9.583,-9.73161,301.857,0.477208,NA,NA,NA,9.583,-0.243681,303.415
297,9.604,-7.21832,302.255,0.416933,NA,NA,NA,9.604,-0.104766,303.803
298,9.624,-6.97362,302.442,0.428896,NA,NA,NA,9.624,0.226691,303.932
299,9.645,-8.304,302.504,0.456033,NA,NA,NA,9.645,-0.00325,303.965
300,9.666,-7.30725,302.774,0.387736,NA,NA,NA,9.666,-0.0128,304.255
301,9.687,-7.074,302.728,0.368494,NA,NA,NA,9.687,0.0465,304.223
302,9.708,-5.99282,302.686,0.343095,NA,NA,NA,9.708,-0.113993,304.115
303,9.729,-5.97072,301.72,0.28343,NA,NA,NA,9.729,0.113153,303.142
304,9.749,-6.34458,301.274,0.235529,NA,NA,NA,9.749,0.0276,302.732
305,9.77,-3.75955,300.939,0.164054,NA,NA,NA,9.77,-0.0231,302.355
306,9.791,-4.29251,300.563,0.132669,NA,NA,NA,9.791,0.0152,302.043
307,9.812,-2.99256,299.992,0.0683,NA,NA,NA,9.812,0.0192,301.425
308,9.833,-1.10746,299.517,0.0288,NA,NA,NA,9.833,-0.0847,300.604
309,9.854,1.8168,299.446,0.00272,NA,NA,NA,9.854,0.00212,300.024
310,9.874,3.69834,299.239,-0.00269,NA,NA,NA,9.874,0.0318,299.657
311,9.895,3.19007,299.073,-0.00675,NA,NA,NA,9.895,0.0272,299.392
312,9.916,3.131,298.898,-0.00202,NA,NA,NA,9.916,-0.0292,299.191
313,9.937,3.61853,298.686,-0.00608,NA,NA,NA,9.937,-0.044,298.953
314,9.958,3.02927,298.475,-0.00615,NA,NA,NA,9.958,-0.0161,298.701
315,9.979,2.6156,298.236,-0.00657,NA,NA,NA,9.979,0.0181,298.416
316,10,2.80057,297.917,-0.00621,NA,NA,NA,10,0.0394,298.067
317,10.02,2.29139,297.718,-0.00313,NA,NA,NA,10.02,-0.0272,297.868
318,10.041,4.20216,297.499,-0.00902,NA,NA,NA,10.041,-0.0467,297.527
319,10.062,4.20216,297.499,-0.00902,NA,NA,NA,10.041,0.202143,296.92
320,10.083,4.20216,297.499,-0.00902,NA,NA,NA,10.041,-0.0187,295.572
321,10.104,4.20216,297.499,-0.00902,NA,NA,NA,10.041,0.0215,295.72
322,10.125,4.20216,297.499,-0.00902,NA,NA,NA,10.041,-0.0225,295.94
323,10.145,4.20216,297.499,-0.00902,NA,NA,NA,10.041,0.0379,295.86
324,10.166,4.20216,297.499,-0.00902,NA,NA,NA,10.041,-0.0399,295.628
325,10.187,4.53064,294.806,0.000317,NA,NA,NA,10.291,-0.0122,295.552
