DOY,co2_flux,air_temperature,ET,,,,
57.874,1.56957,293.62,3.70E-03,,,,
57.895,1.96055,293.083,-7.21E-04,,,,
57.916,1.83037,293.052,-1.48E-03,,,,
57.937,1.02522,292.602,1.69E-04,,,,
57.958,1.45816,291.714,-2.57E-03,,,,
57.979,0.891858,291.53,-2.40E-03,,,,
58,1.02048,291.209,-2.95E-03,,,,
58.02,1.56789,288.188,-1.49E-03,,,,
58.041,0.93729,288.734,-1.00E-03,,,,
58.062,0.429916,288.622,-4.88E-04,,,,
58.083,-0.619744,288.47,1.46E-04,,,,
58.104,-1.93855,287.959,3.00E-03,,,,
58.125,-0.111515,287.617,1.11E-03,,,,
58.145,-1.73568,287.792,3.62E-03,,,,
58.166,0.375916,287.986,-2.44E-03,,,,
58.187,1.59547,290.083,-5.71E-03,,,,
58.208,1.94243,288.271,-3.81E-03,,,,
58.229,0.104439,289.34,-5.10E-04,,,,
58.25,-0.448751,288.54,1.97E-03,,,,
58.27,1.1579,291.025,9.96E-04,,,,
58.291,2.5884,292.202,2.22E-03,,,,
58.312,2.25681,293.169,1.38E-02,,,,
58.333,1.22447,293.305,1.68E-02,,,,
58.354,-0.495912,293.396,3.13E-02,,,,
58.374,-2.28171,293.642,4.34E-02,,,,
58.395,-3.72459,294.023,6.50E-02,,,,
58.416,-4.12785,294.328,8.02E-02,,,,
58.437,-6.05133,294.607,0.101792,,,,
58.458,-6.85064,294.982,0.122603,,,,
58.479,-5.90021,295.46,0.117305,,,,
58.499,-5.19174,295.407,9.70E-02,,,,
58.52,-3.68178,295.11,7.97E-02,,,,
58.541,-2.55811,295.354,5.93E-02,,,,
58.562,-1.67723,295.745,5.42E-02,,,,
58.583,-1.52947,295.917,4.96E-02,,,,
58.604,-2.57863,296.147,5.91E-02,,,,
58.624,-2.21751,296.225,5.65E-02,,,,
58.645,-1.88605,296.344,4.51E-02,,,,
58.666,-2.10397,296.602,4.78E-02,,,,
58.687,-2.44825,296.823,5.64E-02,,,,
58.708,-2.85934,296.837,5.60E-02,,,,
58.729,-4.22525,296.882,7.72E-02,,,,
58.749,-2.75569,296.927,5.49E-02,,,,
58.77,-1.0744,296.924,3.42E-02,,,,
58.791,-0.939917,296.806,3.07E-02,,,,
58.812,-1.38686,296.692,2.06E-02,,,,
58.833,0.733301,296.328,7.15E-03,,,,
58.854,1.79524,295.808,2.33E-03,,,,
58.874,0.678056,294.939,-1.81E-03,,,,
58.895,2.64E-02,294.112,-6.55E-04,,,,
58.916,0.902685,292.481,-6.86E-04,,,,
58.937,1.27263,290.301,-2.65E-03,,,,
58.958,0.631969,289.682,-2.19E-03,,,,
58.979,0.995899,288.986,-4.54E-03,,,,
59,0.982253,288.714,-3.72E-03,,,,
59.02,1.00234,288.896,-4.28E-03,,,,
59.041,2.1407,288.749,-5.35E-03,,,,
59.062,0.483065,288.616,-4.67E-03,,,,
59.083,2.57866,288.754,-6.12E-03,,,,
59.104,2.50176,289.483,-3.00E-03,,,,
59.125,0.762044,289.815,-4.99E-03,,,,
59.145,1.54564,287.585,-2.96E-03,,,,
59.166,3.23262,287.288,-2.97E-03,,,,
59.374,-0.809123,293.385,3.39E-02,,,,
59.395,-1.96619,294.236,5.30E-02,,,,
59.416,-3.92685,295.314,0.123468,,,,
59.437,-6.13517,295.914,0.176535,,,,
59.458,-4.40452,296.518,0.175461,,,,
59.479,-3.77079,296.865,0.170527,,,,
59.499,-3.82527,297.61,0.206272,,,,
59.52,-3.24016,298.601,0.197831,,,,
59.541,-2.77693,298.94,0.210093,,,,
59.562,-3.42031,299.333,0.212553,,,,
59.583,-2.90297,299.736,0.220392,,,,
59.604,-3.09602,299.702,0.212674,,,,
59.624,-2.82794,299.903,0.222794,,,,
59.645,-3.14788,300.253,0.190397,,,,
59.666,-3.48453,300.044,0.161039,,,,
59.687,-3.67551,300.247,0.218037,,,,
59.708,-3.82173,300.444,0.204855,,,,
59.729,-2.48253,300.185,0.120104,,,,
59.749,-1.85973,299.8,7.32E-02,,,,
59.77,-2.06767,299.885,9.30E-02,,,,
59.791,-0.442183,299.398,4.89E-02,,,,
59.812,-0.631525,299.077,2.64E-02,,,,
59.833,0.968412,298.575,-5.25E-03,,,,
59.854,1.53192,298.317,-1.38E-02,,,,
59.874,1.74091,298.15,-5.01E-03,,,,
59.895,1.50983,297.943,-1.29E-02,,,,
59.916,1.09695,297.887,-1.54E-02,,,,
59.937,1.34356,297.39,-1.62E-02,,,,
59.958,0.921398,296.74,-1.00E-02,,,,
59.979,1.49315,296.718,-7.94E-03,,,,
60,2.21516,297.261,-2.42E-02,,,,
60.02,2.98892,297.426,-2.18E-02,,,,
60.041,3.43143,297.263,-3.33E-02,,,,
60.062,3.37206,296.984,-2.82E-02,,,,
60.083,3.05072,296.757,-2.17E-02,,,,
60.104,2.87697,296.719,2.80E-03,,,,
60.125,2.63619,296.544,-1.06E-03,,,,
60.145,2.56943,296.436,1.13E-02,,,,
60.166,2.58145,296.218,6.00E-03,,,,
60.187,2.23388,296.124,1.19E-02,,,,
60.208,2.53091,296.197,1.55E-02,,,,
60.229,2.14757,296.423,2.98E-02,,,,
60.25,3.41578,296.335,2.94E-02,,,,
60.27,2.96227,295.885,1.06E-02,,,,
60.291,2.72942,295.514,1.21E-02,,,,
60.312,2.59364,295.608,1.65E-02,,,,
60.333,1.61334,295.561,1.36E-02,,,,
60.354,0.248814,295.619,1.94E-02,,,,
60.374,-0.172059,295.858,3.63E-02,,,,
60.395,-3.33158,296.641,6.98E-02,,,,
60.416,-7.3965,297.196,0.155848,,,,
60.437,-8.09797,297.769,0.164,,,,
60.458,-12.4819,298.277,0.262131,,,,
60.479,-8.55592,297.667,0.195385,,,,
60.499,-11.7608,298.08,0.243998,,,,
60.52,-12.1455,297.913,0.249448,,,,
60.541,-11.5501,297.925,0.233541,,,,
60.562,-11.2803,298.238,0.253287,,,,
60.583,-12.17,297.426,0.218516,,,,
60.604,-11.1304,297.24,0.193008,,,,
60.624,-9.87484,297.318,0.213485,,,,
60.645,-9.63208,297.39,0.249285,,,,
60.666,-10.5436,297.636,0.265295,,,,
60.687,-6.65051,297.228,0.248408,,,,
60.791,-0.146511,295.111,0.405814,,,,
60.812,0.305544,294.883,0.31695,,,,
60.833,2.78503,294.393,0.227513,,,,
60.854,3.53343,294.127,0.238022,,,,
60.874,3.09054,294.062,0.198043,,,,
60.895,3.2949,293.788,0.169599,,,,
60.916,3.0922,293.638,0.109698,,,,
60.937,2.60193,293.627,0.112074,,,,
60.958,2.76443,293.429,9.29E-02,,,,
60.979,2.54291,293.419,8.77E-02,,,,
61,2.47081,293.283,7.19E-02,,,,
61.02,2.31375,293.127,5.70E-02,,,,
61.041,2.66083,293.053,5.96E-02,,,,
61.062,2.95654,293.008,7.82E-02,,,,
61.083,2.59349,292.976,8.19E-02,,,,
61.104,2.51404,292.72,7.31E-02,,,,
61.125,2.70681,292.926,9.55E-02,,,,
61.145,2.43907,292.872,6.52E-02,,,,
61.166,2.23037,292.754,6.98E-02,,,,
61.187,2.09354,293.006,9.95E-02,,,,
61.208,2.4287,292.821,0.104215,,,,
61.229,2.20202,292.797,8.04E-02,,,,
61.25,3.52316,292.938,0.101104,,,,
61.27,3.54362,292.845,9.92E-02,,,,
61.291,3.55646,292.83,9.97E-02,,,,
61.312,3.2199,292.787,5.98E-02,,,,
61.333,2.79554,292.78,8.42E-02,,,,
61.354,2.88616,292.821,4.72E-02,,,,
61.374,0.590941,292.973,6.06E-02,,,,
61.395,-0.449644,293.278,0.113391,,,,
61.416,-2.31241,293.452,0.13242,,,,
61.437,-4.95185,293.78,0.150566,,,,
61.458,-3.60191,293.78,0.134577,,,,
61.479,-2.92636,293.816,0.110438,,,,
61.499,-2.39833,293.643,0.101293,,,,
61.52,-6.80352,293.307,3.99E-02,,,,
61.541,-5.45906,294.091,0.128943,,,,
61.562,-5.59043,293.991,0.154271,,,,
61.583,-7.27311,294.443,0.169214,,,,
61.604,-6.4715,294.51,0.16873,,,,
61.624,-5.32419,294.374,0.165266,,,,
61.645,-7.89032,294.75,0.187807,,,,
61.666,-8.82016,295.4,0.217253,,,,
61.687,-8.13426,295.072,0.198886,,,,
61.708,-6.15804,294.977,0.164422,,,,
61.729,-4.96115,294.735,0.130626,,,,
61.749,-4.89799,294.722,0.134767,,,,
61.77,-3.01799,294.481,0.105229,,,,
61.791,-2.00489,294.318,9.84E-02,,,,
61.812,-0.873405,293.889,6.26E-02,,,,
61.833,1.48794,293.395,3.42E-02,,,,
61.854,2.04183,293.007,1.84E-02,,,,
61.874,2.17507,292.986,2.02E-02,,,,
61.895,2.13937,292.883,2.28E-02,,,,
61.916,2.09356,293.369,2.74E-02,,,,
61.937,2.069,293.443,2.97E-02,,,,
61.958,2.04019,293.389,3.46E-02,,,,
61.979,1.76192,293.362,2.35E-02,,,,
62,1.94087,293.454,2.65E-02,,,,
62.02,1.85489,293.417,2.69E-02,,,,
62.041,1.92145,293.423,2.93E-02,,,,
62.062,2.461,293.347,3.41E-02,,,,
62.083,2.06495,293.431,3.13E-02,,,,
62.104,1.91117,293.651,3.66E-02,,,,
62.125,1.72847,293.751,4.23E-02,,,,
62.145,1.49899,293.593,2.80E-02,,,,
62.166,1.47901,293.646,2.02E-02,,,,
62.187,1.62912,293.512,2.50E-02,,,,
62.208,1.88768,293.433,3.64E-02,,,,
62.229,1.33523,293.437,9.67E-03,,,,
62.25,4.38118,293.231,-4.25E-02,,,,
62.27,2.6191,292.403,1.44E-02,,,,
62.333,-0.556097,292.648,9.15E-02,,,,
62.354,1.78054,292.404,3.77E-02,,,,
62.416,-1.56443,296.724,8.47E-02,,,,
62.479,-9.53311,295.034,0.324119,,,,
62.499,-4.70453,294.781,0.17806,,,,
62.52,-8.39162,295.04,0.261999,,,,
62.541,-8.45963,295.149,0.243157,,,,
62.562,-10.2871,295.462,0.281335,,,,
62.583,-8.10969,295.12,0.209608,,,,
62.604,-11.4252,295.801,0.335156,,,,
62.624,-10.9797,296.261,0.347629,,,,
62.645,-8.92366,295.511,0.220456,,,,
62.666,-7.15619,295.095,0.197438,,,,
62.687,-6.55341,295.024,0.162783,,,,
62.708,-6.62381,295.159,0.147341,,,,
62.729,-6.28078,295.269,0.161752,,,,
62.749,-4.57746,295.38,0.179114,,,,
62.77,-1.44789,294.95,0.121484,,,,
62.791,-0.796809,294.679,8.76E-02,,,,
62.812,-1.09172,294.356,9.78E-02,,,,
62.833,1.13311,294.188,5.71E-02,,,,
62.854,1.80453,294.002,3.51E-02,,,,
62.874,2.01534,294.043,2.67E-02,,,,
62.916,7.38573,299.096,2.21E-02,,,,
62.937,-4.52645,294.401,8.90E-02,,,,
63,0.556874,293.425,3.00E-02,,,,
63.02,1.12102,293.494,3.14E-02,,,,
63.041,1.9117,294.07,7.33E-02,,,,
63.062,1.56534,293.948,3.15E-02,,,,
63.083,1.93541,294.263,4.28E-02,,,,
63.104,1.91593,294.536,3.99E-02,,,,
63.125,1.07503,293.959,1.94E-02,,,,
63.145,1.48335,294.276,2.98E-02,,,,
63.166,1.18249,294.336,2.38E-02,,,,
63.187,1.13733,294.29,2.72E-02,,,,
63.208,1.52616,294.435,3.39E-02,,,,
63.229,1.16837,294.493,2.32E-02,,,,
63.25,2.68937,294.372,3.62E-02,,,,
63.27,2.90837,294.386,3.48E-02,,,,
63.291,2.70323,294.32,2.62E-02,,,,
63.312,3.31428,294.41,2.69E-02,,,,
63.333,3.32451,294.568,2.96E-02,,,,
63.354,3.76037,294.741,4.03E-02,,,,
63.374,2.7726,294.929,3.40E-02,,,,
63.395,2.97707,294.885,6.01E-02,,,,
63.416,1.99726,294.628,5.16E-02,,,,
63.437,5.17E-02,294.59,4.94E-02,,,,
63.479,-3.32879,294.744,7.39E-02,,,,
63.52,-5.70025,295.523,8.81E-02,,,,
63.541,-6.93691,295.947,0.107695,,,,
63.562,-1.63998,295.918,7.46E-02,,,,
63.583,-7.4618,296.192,0.225483,,,,
63.604,-6.44772,296.191,0.268805,,,,
63.624,-6.02588,296.307,0.124545,,,,
63.645,-8.72628,296.905,0.217491,,,,
63.666,-7.67645,296.766,0.176506,,,,
63.687,-6.80633,296.853,0.154742,,,,
63.708,-5.43492,296.709,0.140478,,,,
63.729,-2.25679,296.624,8.16E-02,,,,
63.749,-1.99631,296.622,8.59E-02,,,,
63.77,-0.237295,296.552,8.25E-02,,,,
63.791,1.48326,296.37,4.87E-02,,,,
63.812,1.29629,296.345,5.01E-02,,,,
63.833,1.69624,296.263,5.01E-02,,,,
63.854,0.482158,296.315,5.78E-02,,,,
63.874,1.5555,296.398,4.99E-02,,,,
63.958,5.70321,299.651,0.140712,,,,
63.979,2.617,296.523,0.159662,,,,
64,3.18435,294.14,0.119291,,,,
64.02,3.21955,293.68,0.110818,,,,
64.041,3.02685,293.635,0.107064,,,,
64.062,3.21052,293.515,0.12497,,,,
64.083,3.48055,293.382,0.155619,,,,
64.104,3.01795,293.406,0.132013,,,,
64.125,2.87754,293.766,0.151358,,,,
64.145,2.73385,293.653,0.118267,,,,
64.166,2.7043,293.772,0.12077,,,,
64.187,2.47477,293.737,9.28E-02,,,,
64.208,2.37619,293.91,0.120022,,,,
64.229,1.91137,293.908,0.115733,,,,
64.25,3.89451,293.634,8.73E-02,,,,
64.27,2.15865,293.76,9.84E-02,,,,
64.291,3.04827,293.905,0.101505,,,,
64.312,-0.177261,293.564,0.173033,,,,
64.333,2.5976,293.245,0.112434,,,,
64.354,1.80651,293.418,0.116325,,,,
64.374,1.07595,293.505,8.56E-02,,,,
64.395,-0.445574,293.499,0.100299,,,,
64.416,-1.52594,293.891,0.105781,,,,
64.437,-2.27797,294.149,0.127907,,,,
64.458,-2.40326,294.292,0.109327,,,,
64.479,-3.63484,294.549,0.115697,,,,
64.499,-5.42534,295.156,0.162803,,,,
64.52,-6.7066,295.169,0.173673,,,,
64.541,-6.81989,294.635,0.181458,,,,
64.562,-5.03873,294.522,0.158858,,,,
64.583,-8.98052,295.535,0.240138,,,,
64.604,-11.2681,295.723,0.308609,,,,
64.624,-10.4,295.742,0.280886,,,,
64.645,-7.17186,294.801,0.191537,,,,
64.666,-8.26019,295.581,0.206662,,,,
64.687,-8.35509,295.535,0.232291,,,,
64.708,-5.75998,295.12,0.165896,,,,
64.729,-5.1667,294.987,0.176672,,,,
64.749,-3.11434,294.764,0.157923,,,,
64.77,-2.31404,294.635,0.118424,,,,
64.791,-0.987732,294.459,0.10856,,,,
64.812,-0.527447,294.219,7.90E-02,,,,
64.833,1.05174,294.076,6.89E-02,,,,
64.854,1.69459,293.946,7.23E-02,,,,
64.874,1.48458,293.853,5.57E-02,,,,
64.895,1.76743,293.815,5.34E-02,,,,
64.916,1.89428,293.438,4.02E-02,,,,
64.937,1.85227,293.327,3.89E-02,,,,
64.958,1.80059,293.4,4.93E-02,,,,
64.979,1.99557,293.268,3.26E-02,,,,
65,1.8298,293.142,2.82E-02,,,,
65.02,1.98579,293.183,3.96E-02,,,,
65.041,2.0477,293.186,2.64E-02,,,,
65.062,1.99536,293.21,3.34E-02,,,,
65.083,1.56868,293.116,2.74E-02,,,,
65.104,1.60257,293.083,2.46E-02,,,,
65.125,1.5901,292.951,2.64E-02,,,,
65.145,1.88517,292.925,2.06E-02,,,,
65.166,2.06501,293.036,2.79E-02,,,,
65.187,1.93546,293.038,2.75E-02,,,,
65.208,1.63677,292.943,1.83E-02,,,,
65.229,1.48224,292.969,1.64E-02,,,,
65.25,1.46081,292.999,1.46E-02,,,,
65.27,2.35582,292.969,1.04E-02,,,,
65.291,2.60955,292.938,1.14E-02,,,,
65.312,2.20035,293.071,1.16E-02,,,,
65.333,1.14273,292.808,4.97E-03,,,,
65.354,-0.55764,293.484,2.51E-02,,,,
65.374,-2.31059,294.772,6.48E-02,,,,
65.395,-4.38547,295.137,0.107488,,,,
65.416,-5.50811,295.462,0.120097,,,,
65.437,-4.1123,295.77,0.110418,,,,
65.458,-3.96929,296.127,0.134565,,,,
65.479,-3.90711,296.622,0.154189,,,,
65.499,-4.60587,297.064,0.158111,,,,
65.52,-5.68597,297.582,0.20091,,,,
65.541,-5.71944,297.979,0.205345,,,,
65.562,-5.97186,297.832,0.178387,,,,
65.583,-5.8104,298.149,0.20326,,,,
65.604,-8.57768,298.432,0.277084,,,,
65.624,-8.15002,298.367,0.222981,,,,
65.645,-7.37506,298.128,0.194513,,,,
65.666,-7.25549,297.922,0.164321,,,,
65.687,-6.46045,297.882,0.13699,,,,
65.708,-5.74243,297.693,0.125818,,,,
65.729,-3.93766,297.478,0.10121,,,,
65.749,-3.81151,297.262,6.80E-02,,,,
65.77,-2.80324,296.87,5.78E-02,,,,
65.791,-2.35762,296.603,2.63E-02,,,,
65.812,-0.410223,296.186,1.39E-02,,,,
65.833,1.32049,295.793,1.36E-06,,,,
65.854,0.83715,295.758,-5.73E-03,,,,
65.874,1.42608,295.886,-9.78E-03,,,,
65.895,1.43792,295.829,-2.50E-04,,,,
65.916,1.27541,295.132,-4.92E-03,,,,
65.937,1.32924,294.507,-6.71E-03,,,,
65.958,1.2041,293.302,-7.04E-03,,,,
65.979,0.710147,292.873,-4.74E-03,,,,
66,-0.717701,292.324,1.76E-03,,,,
66.02,-1.49454,290.383,2.86E-03,,,,
66.041,13.4152,289.506,-2.04E-02,,,,
66.062,3.53221,288.53,-5.39E-03,,,,
66.083,-5.25374,288.534,-1.06E-02,,,,
66.104,-8.68034,287.744,-5.30E-04,,,,
66.125,0.461726,287.648,-3.80E-03,,,,
66.145,9.59031,287.237,-5.85E-03,,,,
66.187,-5.65106,287.195,-1.06E-02,,,,
66.208,-6.65841,286.275,-6.27E-03,,,,
66.229,2.21914,285.796,-1.53E-03,,,,
66.25,2.37399,286.208,-4.99E-03,,,,
66.291,0.209864,286.049,-2.63E-03,,,,
66.354,-0.747143,291.429,6.18E-04,,,,
66.374,-2.30473,293.056,7.45E-03,,,,
66.395,-3.60898,294.463,2.50E-02,,,,
66.416,-3.72834,295.079,3.22E-02,,,,
66.437,-3.58235,295.825,3.81E-02,,,,
66.458,-6.62098,296.607,6.49E-02,,,,
66.479,-6.15397,297.723,6.34E-02,,,,
66.499,-4.49052,299.218,9.32E-02,,,,
66.52,-2.68396,300.922,0.133105,,,,
66.541,-2.14036,302.52,0.140111,,,,
66.562,-1.71417,302.949,0.142217,,,,
66.583,-1.75781,303.903,0.149742,,,,
66.604,-1.77505,304.323,0.15417,,,,
66.624,-5.41177,303.151,0.217748,,,,
66.645,-5.10788,302.673,0.221584,,,,
66.666,-2.64973,303.169,0.18259,,,,
66.687,-2.39488,301.599,9.23E-02,,,,
66.708,-2.44713,300.078,8.48E-02,,,,
66.729,-0.556305,299.291,2.77E-02,,,,
66.749,-2.09273,299.279,4.69E-02,,,,
66.77,-2.07261,299.004,5.26E-02,,,,
66.791,-1.86448,298.747,1.94E-02,,,,
66.812,0.26083,297.922,-1.42E-02,,,,
66.833,1.4257,297.494,-1.37E-02,,,,
66.854,1.51036,297.263,-1.20E-02,,,,
66.874,1.5822,297.398,-1.14E-02,,,,
66.895,1.59772,297.477,-9.91E-03,,,,
66.916,1.47703,297.452,-8.86E-03,,,,
66.937,1.23856,297.24,-7.34E-03,,,,
66.958,1.06121,296.834,-4.10E-03,,,,
66.979,1.00534,296.349,-1.32E-03,,,,
67,-0.1406,295.674,-6.25E-04,,,,
67.02,2.42434,296.96,-1.10E-02,,,,
67.041,1.84814,296.984,-9.06E-03,,,,
67.062,2.40892,296.534,-1.31E-02,,,,
67.083,2.0637,296.204,-1.26E-02,,,,
67.104,1.43956,295.994,-6.27E-03,,,,
67.125,1.82192,296.191,-6.18E-03,,,,
67.145,1.93592,296.615,-6.62E-03,,,,
67.166,2.18256,296.572,-9.20E-03,,,,
67.187,2.13415,296.519,-5.27E-03,,,,
67.208,2.16808,296.499,-4.78E-03,,,,
67.229,1.98106,296.422,-5.51E-03,,,,
67.25,1.93543,296.695,-3.40E-03,,,,
67.27,2.01496,295.678,-8.15E-04,,,,
67.291,1.93793,295.038,-4.04E-04,,,,
67.312,1.56347,294.868,-3.96E-03,,,,
67.333,2.91468,294.549,-5.35E-04,,,,
67.354,4.69155,294.718,-8.66E-05,,,,
67.374,0.330261,296.256,5.44E-03,,,,
67.395,-2.75201,296.482,3.98E-02,,,,
67.416,-3.23416,296.986,5.08E-02,,,,
67.437,-2.16193,296.998,3.37E-02,,,,
67.458,-2.92666,297.152,5.21E-02,,,,
67.479,-6.831,297.55,0.119357,,,,
67.499,-9.49856,297.898,0.167999,,,,
67.52,-9.95017,298.325,0.192592,,,,
67.541,-8.01768,297.968,0.134602,,,,
67.562,-6.5296,297.815,0.102197,,,,
67.583,-1.56255,298.306,0.105939,,,,
67.604,-5.08393,298.237,0.213932,,,,
67.624,-2.2026,297.756,0.120951,,,,
67.645,1.59851,297.473,1.83E-02,,,,
67.666,3.22441,298.13,8.98E-02,,,,
67.708,-0.237001,297.809,4.69E-02,,,,
67.729,0.200139,296.049,6.87E-02,,,,
67.749,1.31941,295.972,5.50E-02,,,,
67.77,1.55821,295.978,6.90E-02,,,,
67.791,-0.222228,295.742,2.78E-02,,,,
67.812,-13.8029,295.346,0.10497,,,,
67.854,2.30249,295.985,2.46E-02,,,,
67.874,2.07566,295.672,1.79E-02,,,,
67.895,2.39588,294.998,1.77E-02,,,,
67.916,2.16472,295.046,2.82E-02,,,,
67.937,2.05196,295.159,3.63E-02,,,,
67.958,2.07122,295.163,2.79E-02,,,,
67.979,2.20302,295.065,2.81E-02,,,,
68,1.99438,294.939,2.38E-02,,,,
68.02,2.22794,294.791,3.44E-02,,,,
68.041,2.16459,294.851,3.78E-02,,,,
68.062,2.12747,294.42,2.76E-02,,,,
68.083,2.12944,294.52,2.93E-02,,,,
68.104,2.81569,294.579,6.32E-02,,,,
68.125,2.57672,294.371,6.25E-02,,,,
68.145,2.22955,294.442,4.83E-02,,,,
68.166,2.27456,294.468,3.93E-02,,,,
68.187,2.17685,294.592,3.17E-02,,,,
68.208,2.56309,294.598,3.42E-02,,,,
68.229,-5.29187,294.177,5.77E-02,,,,
68.291,4.4766,303.942,5.24E-02,,,,
68.374,0.413231,303.365,6.64E-02,,,,
68.395,-3.55486,296.564,0.192044,,,,
68.437,-5.55193,297.593,0.220063,,,,
68.458,-5.63834,295.833,0.31894,,,,
68.479,-3.50889,295.787,0.349229,,,,
68.499,-4.21935,296.105,0.302428,,,,
68.52,-8.55203,296.301,0.466073,,,,
68.541,-7.71188,296.397,0.408516,,,,
68.562,-10.6519,296.464,0.473015,,,,
68.583,-10.5598,296.453,0.409763,,,,
68.604,-11.3046,296.924,0.451331,,,,
68.624,-10.2518,297.238,0.47259,,,,
68.645,-7.24427,297.079,0.36443,,,,
68.666,-7.24583,297.19,0.361138,,,,
68.687,-7.40427,296.854,0.303015,,,,
68.708,-6.76802,296.795,0.283524,,,,
68.729,-4.74,296.388,0.201387,,,,
68.749,-4.44339,296.403,0.222042,,,,
68.77,-4.13458,296.215,0.145477,,,,
68.791,-2.05927,295.596,8.21E-02,,,,
68.812,-0.264902,295.224,4.89E-02,,,,
68.833,1.56869,294.756,3.19E-02,,,,
68.854,1.78505,294.436,1.87E-02,,,,
68.874,1.84738,294.431,-1.05E-03,,,,
68.895,2.3182,294.657,2.02E-02,,,,
68.916,1.79015,294.493,1.29E-02,,,,
68.937,2.00388,293.876,7.10E-03,,,,
68.958,1.7649,293.982,5.07E-04,,,,
68.979,1.86989,294.034,5.76E-03,,,,
69,1.52757,293.916,-4.16E-03,,,,
69.02,2.8075,293.741,5.63E-02,,,,
69.041,1.72802,293.253,-2.07E-03,,,,
69.062,1.34141,292.579,-1.89E-03,,,,
69.104,1.63061,294.105,1.32E-03,,,,
69.125,1.88241,293.773,1.47E-03,,,,
69.145,1.5298,292.866,-3.19E-05,,,,
69.166,1.05757,292.023,6.50E-04,,,,
69.187,1.58038,292.025,1.03E-04,,,,
69.208,1.42803,292.114,-3.41E-04,,,,
69.229,1.33943,291.824,-1.25E-03,,,,
69.25,1.97452,291.548,-2.69E-03,,,,
69.27,2.96132,291.498,-7.94E-04,,,,
69.291,1.73505,291.251,-6.90E-04,,,,
69.312,1.99287,291.454,-2.01E-03,,,,
69.333,1.95759,291.716,2.00E-03,,,,
69.354,1.13156,292.43,1.48E-02,,,,
69.374,0.733675,293.148,2.48E-02,,,,
69.395,-0.140279,293.546,4.84E-02,,,,
69.416,-0.384577,293.942,5.49E-02,,,,
69.437,-2.31177,294.567,0.111414,,,,
69.458,-2.71367,294.574,0.114949,,,,
69.479,-5.64635,295.298,0.233269,,,,
69.499,-4.80158,296.143,0.268964,,,,
69.52,-3.22328,296.94,0.380873,,,,
69.541,-2.82599,297.022,0.274941,,,,
69.562,-3.23283,297.561,0.297725,,,,
69.583,-2.30975,297.715,0.243328,,,,
69.604,-2.04985,298.073,0.217538,,,,
69.624,-2.75578,298.07,0.234622,,,,
69.645,-2.33454,297.975,0.176182,,,,
69.666,-2.44968,297.726,0.168587,,,,
69.687,-3.45059,297.598,0.177582,,,,
69.708,-2.44787,297.286,0.123172,,,,
69.729,-2.05337,297.257,0.114191,,,,
69.749,-1.51447,297.003,8.63E-02,,,,
69.77,-1.20108,296.684,6.77E-02,,,,
69.791,-1.00975,296.001,2.25E-02,,,,
69.812,0.39128,295.463,4.50E-03,,,,
69.833,1.19932,295.214,-6.40E-03,,,,
69.854,1.52753,295.171,-3.99E-03,,,,
69.874,1.675,295.278,-8.55E-03,,,,
69.895,1.69971,295.259,-1.96E-03,,,,
69.916,1.54157,295.101,-2.87E-03,,,,
69.937,1.39333,294.684,-8.62E-03,,,,
69.958,1.09687,294.457,-9.54E-03,,,,
69.979,0.686973,294.216,-1.13E-02,,,,
70,0.865928,293.515,-1.48E-02,,,,
70.02,0.389196,292.041,-3.74E-03,,,,
70.041,0.350784,291.87,-4.85E-04,,,,
70.062,6.24898,289.652,-1.75E-02,,,,
70.083,1.4368,288.809,-2.98E-03,,,,
70.104,9.16632,287.738,-1.84E-03,,,,
70.145,2.72205,286.897,-2.86E-03,,,,
70.166,1.98024,286.809,-2.34E-03,,,,
70.187,1.80902,286.748,-1.62E-02,,,,
70.208,-0.990188,285.675,-6.92E-03,,,,
70.229,1.00947,285.825,1.84E-03,,,,
70.291,-0.224076,287.217,-2.19E-02,,,,
70.333,4.6591,288.166,-9.45E-03,,,,
70.354,0.388818,290.895,2.59E-03,,,,
70.374,-1.00964,292.632,2.15E-02,,,,
70.395,-1.11734,292.92,1.82E-02,,,,
70.416,-1.05162,293.343,1.94E-02,,,,
70.437,-2.80411,294.323,3.27E-02,,,,
70.458,-3.59837,295.127,6.21E-02,,,,
70.479,-5.90331,294.963,7.04E-02,,,,
70.499,-8.20921,295.342,0.112185,,,,
70.52,-6.23876,295.946,0.120588,,,,
70.541,-5.87588,296.859,0.154332,,,,
70.562,-5.11963,298.157,0.170283,,,,
70.583,-4.45369,299.59,0.203025,,,,
70.604,-2.52477,299.545,0.167554,,,,
70.624,-2.94099,298.83,8.24E-02,,,,
70.645,-3.51041,299.454,0.104947,,,,
70.666,-3.17612,300.184,9.06E-02,,,,
70.687,-6.44161,300.028,0.137245,,,,
70.708,-3.77972,299.547,7.44E-02,,,,
70.729,-2.2292,299.49,5.36E-02,,,,
70.749,0.488177,298.98,2.58E-02,,,,
70.77,2.85008,298.688,3.32E-02,,,,
70.791,1.3006,298.073,-7.73E-03,,,,
70.812,1.28151,297.869,-1.46E-02,,,,
70.833,1.46731,297.784,-2.00E-02,,,,
70.854,1.66634,297.723,-1.58E-02,,,,
70.874,1.36226,297.607,-8.95E-03,,,,
70.895,0.972496,297.251,-4.05E-03,,,,
70.916,2.26788,297.23,-1.99E-02,,,,
